2024-04-04 18:10:24,592 [INFO] You choosed the auto mode!
2024-04-04 18:10:32,010 [INFO] Creating links..
2024-04-04 18:10:32,010 [INFO] ..links creation done!
2024-04-04 18:10:32,010 [INFO] Links created are:
2024-04-04 18:10:32,010 [INFO] 1: {'endpoints': [1, 2], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,010 [INFO] 2: {'endpoints': [2, 3], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,010 [INFO] 3: {'endpoints': [3, 4], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,017 [INFO] 4: {'endpoints': [4, 5], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,017 [INFO] 5: {'endpoints': [5, 6], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,018 [INFO] 6: {'endpoints': [6, 7], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,019 [INFO] 7: {'endpoints': [7, 8], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,019 [INFO] 8: {'endpoints': [8, 9], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,020 [INFO] 9: {'endpoints': [9, 10], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,020 [INFO] 10: {'endpoints': [10, 11], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,021 [INFO] 11: {'endpoints': [11, 12], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,021 [INFO] 12: {'endpoints': [12, 13], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,022 [INFO] 13: {'endpoints': [13, 14], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,022 [INFO] 14: {'endpoints': [14, 15], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,023 [INFO] 15: {'endpoints': [15, 16], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,023 [INFO] 16: {'endpoints': [1, 17], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,023 [INFO] 17: {'endpoints': [17, 18], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,024 [INFO] 18: {'endpoints': [2, 18], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,024 [INFO] 19: {'endpoints': [18, 19], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,025 [INFO] 20: {'endpoints': [3, 19], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,025 [INFO] 21: {'endpoints': [19, 20], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,025 [INFO] 22: {'endpoints': [4, 20], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,027 [INFO] 23: {'endpoints': [20, 21], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,027 [INFO] 24: {'endpoints': [5, 21], 'capacity': 10, 'trafficPerc': 0}
2024-04-04 18:10:32,028 [INFO] 25: {'endpoints': [21, 22], 'capacity': 10, 'trafficPerc': 0}
