2024-03-14 16:50:42,835 [INFO] Loading files..
2024-03-14 16:50:42,851 [INFO] Loading network file..
2024-03-14 16:50:42,888 [INFO] ..done!
2024-03-14 16:50:42,890 [INFO] Loading packets file..
2024-03-14 16:50:49,656 [INFO] ..done!
2024-03-14 16:50:49,656 [INFO] Analyzing files..
2024-03-14 16:50:49,656 [INFO] Simulation parameters:
2024-03-14 16:50:49,656 [INFO] {'graphType': 'graph', 'isCustom': True, 'linkCap': None, 'simTime': 4, 'startSimTime': datetime.datetime(2024, 1, 1, 0, 0)}
2024-03-14 16:50:49,694 [DEBUG] UpdateDeltaTraffic sums:
2024-03-14 16:50:49,695 [DEBUG] link: frozenset({1, 2})
2024-03-14 16:50:49,696 [DEBUG] updateTime: 2024-01-01 00:00:00.100000, packets sum: 108752
2024-03-14 16:50:49,698 [DEBUG] updateTime: 2024-01-01 00:00:00.200000, packets sum: 108752
2024-03-14 16:50:49,699 [DEBUG] updateTime: 2024-01-01 00:00:00.300000, packets sum: 108752
2024-03-14 16:50:49,699 [DEBUG] updateTime: 2024-01-01 00:00:00.400000, packets sum: 108752
2024-03-14 16:50:49,700 [DEBUG] updateTime: 2024-01-01 00:00:00.500000, packets sum: 108752
2024-03-14 16:50:49,701 [DEBUG] updateTime: 2024-01-01 00:00:00.600000, packets sum: 108752
2024-03-14 16:50:49,703 [DEBUG] updateTime: 2024-01-01 00:00:00.700000, packets sum: 108752
2024-03-14 16:50:49,704 [DEBUG] updateTime: 2024-01-01 00:00:00.800000, packets sum: 108752
2024-03-14 16:50:49,705 [DEBUG] updateTime: 2024-01-01 00:00:00.900000, packets sum: 108752
2024-03-14 16:50:49,705 [DEBUG] updateTime: 2024-01-01 00:00:01, packets sum: 108752
2024-03-14 16:50:49,706 [DEBUG] updateTime: 2024-01-01 00:00:01.100000, packets sum: 107500
2024-03-14 16:50:49,708 [DEBUG] updateTime: 2024-01-01 00:00:01.200000, packets sum: 107500
2024-03-14 16:50:49,708 [DEBUG] updateTime: 2024-01-01 00:00:01.300000, packets sum: 107500
2024-03-14 16:50:49,709 [DEBUG] updateTime: 2024-01-01 00:00:01.400000, packets sum: 107500
2024-03-14 16:50:49,709 [DEBUG] updateTime: 2024-01-01 00:00:01.500000, packets sum: 107500
2024-03-14 16:50:49,711 [DEBUG] updateTime: 2024-01-01 00:00:01.600000, packets sum: 107500
2024-03-14 16:50:49,712 [DEBUG] updateTime: 2024-01-01 00:00:01.700000, packets sum: 107500
2024-03-14 16:50:49,712 [DEBUG] updateTime: 2024-01-01 00:00:01.800000, packets sum: 107500
2024-03-14 16:50:49,713 [DEBUG] updateTime: 2024-01-01 00:00:01.900000, packets sum: 107500
2024-03-14 16:50:49,714 [DEBUG] updateTime: 2024-01-01 00:00:02, packets sum: 107500
