2024-02-16 16:06:44,833 [INFO] The choosen switches number is 4 and the network link capacity is 10 Mbps
2024-02-16 16:06:44,833 [INFO] LinkCap in Bytes: 1250000B
2024-02-16 16:06:44,833 [DEBUG] PPS: 312.500000
2024-02-16 16:06:44,833 [INFO] Creating links..
2024-02-16 16:06:44,833 [INFO] ..links creation done!Links created are:
2024-02-16 16:06:44,833 [INFO] 1: {'endpoints': ['switch1', 'switch2'], 'capacity': 10, 'trafficPerc': 0}
2024-02-16 16:06:44,833 [INFO] 2: {'endpoints': ['switch1', 'switch3'], 'capacity': 10, 'trafficPerc': 0}
2024-02-16 16:06:44,848 [INFO] 3: {'endpoints': ['switch1', 'switch4'], 'capacity': 10, 'trafficPerc': 0}
2024-02-16 16:06:44,848 [INFO] 4: {'endpoints': ['switch2', 'switch3'], 'capacity': 10, 'trafficPerc': 0}
2024-02-16 16:06:44,848 [INFO] 5: {'endpoints': ['switch2', 'switch4'], 'capacity': 10, 'trafficPerc': 0}
2024-02-16 16:06:44,851 [INFO] 6: {'endpoints': ['switch3', 'switch4'], 'capacity': 10, 'trafficPerc': 0}
2024-02-16 16:06:44,851 [INFO] Creating packets.yaml file structure..
2024-02-16 16:06:44,852 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 0, trafficPerc: 0
2024-02-16 16:06:44,853 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 0, trafficPerc: 10
2024-02-16 16:06:44,854 [INFO] Link: 3, endpoints: ['switch1', 'switch4'], sim second: 0, trafficPerc: 10
2024-02-16 16:06:44,854 [INFO] Link: 4, endpoints: ['switch2', 'switch3'], sim second: 0, trafficPerc: 0
2024-02-16 16:06:44,855 [INFO] Link: 5, endpoints: ['switch2', 'switch4'], sim second: 0, trafficPerc: 0
2024-02-16 16:06:44,856 [INFO] Link: 6, endpoints: ['switch3', 'switch4'], sim second: 0, trafficPerc: 10
2024-02-16 16:06:44,857 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 1, trafficPerc: 0
2024-02-16 16:06:44,858 [INFO] Link: 2, endpoints: ['switch1', 'switch3'], sim second: 1, trafficPerc: 20
2024-02-16 16:06:44,859 [INFO] Link: 3, endpoints: ['switch1', 'switch4'], sim second: 1, trafficPerc: 20
2024-02-16 16:06:44,860 [INFO] Link: 4, endpoints: ['switch2', 'switch3'], sim second: 1, trafficPerc: 0
2024-02-16 16:06:44,863 [INFO] Link: 5, endpoints: ['switch2', 'switch4'], sim second: 1, trafficPerc: 0
2024-02-16 16:06:44,865 [INFO] Link: 6, endpoints: ['switch3', 'switch4'], sim second: 1, trafficPerc: 20
2024-02-16 16:06:44,868 [INFO] Link: 1, endpoints: ['switch1', 'switch2'], sim second: 2, trafficPerc: 10
